timestamp,tracker_pos_x,tracker_pos_y,tracker_pos_z,tracker_rot_roll,tracker_rot_pitch,tracker_rot_yaw,tracker_rot_quat_x,tracker_rot_quat_y,tracker_rot_quat_z,tracker_rot_quat_w,sensor_x,sensor_y,sensor_z
1754658745.6021702,0.07005763053894043,1.0091995000839233,-0.007897183299064636,91.69631586533738,-24.47755241477069,6.973763764664929,0.7088721946520208,-0.10474190057390376,0.19321982946734392,0.6702203801518523,-211.6,-25.8,38.44
1754658745.8092787,0.0754498839378357,1.014778733253479,-0.015621677041053772,71.15652333802004,-6.139414022158891,22.11366578312461,0.578548007906557,0.06867615020638426,0.18633540485185582,0.7911035559489329,-330.0,-74.2,199.94
1754658746.015023,0.056773364543914795,1.0130733251571655,-0.009098663926124573,88.88937211334928,-18.768189918350586,26.858328343760174,0.6989949779377823,0.047220571620293424,0.2746362453389289,0.6585977910552483,-291.6,-34.4,141.8
1754658746.2374275,0.03821301460266113,1.0078250169754028,0.006685122847557068,105.43856450876117,-27.646053711684672,-0.7194889781859999,0.771709269519192,-0.14956929986075893,0.18640945955294616,0.5893600103397677,-272.2,-103.0,69.44
1754658746.444936,0.051564157009124756,1.010248064994812,0.014358505606651306,106.65404011853335,-25.12437010258386,-15.820987151309373,0.7575293363372683,-0.23640593860930922,0.09255779390503723,0.6014104130700698,-239.4,-103.4,13.57
1754658746.6499035,0.07740652561187744,1.0087584257125854,0.016900643706321716,91.53723129211868,-14.09271962958484,-13.861823681844303,0.6955941317605684,-0.17075794599008653,0.0037157288091244464,0.6978370985298615,-254.0,-174.0,209.63
1754658746.8712094,0.07647877931594849,1.0075500011444092,0.020719483494758606,106.41885794356854,-12.81897703983291,-10.640528057396917,0.7861967048468615,-0.1403593832767117,0.03383048137023887,0.6008738378208413,-306.0,-195.0,239.02
1754658747.0783873,0.09296649694442749,0.9939038753509521,0.042914316058158875,102.51376923818869,-18.525783788939417,14.512942801890148,0.776347731961185,-0.002696813014615666,0.2025587301374802,0.5968641036721695,-348.2,-104.2,489.99
1754658747.284178,0.1191055178642273,1.001617193222046,0.037679269909858704,73.44491722494129,-0.37387015725676076,30.809955400612544,0.5771483960411367,0.15631448804913267,0.21480095169342908,0.7722214738750626,-261.4,96.6,571.39
1754658747.5073006,0.10623347759246826,0.9895178079605103,0.036218926310539246,72.82644173116807,-1.9498167798541868,10.77318847288441,0.5921830330664208,0.04208466628653442,0.08559119671356766,0.8001388624864989,-59.0,69.2,532.95
1754658747.7133048,0.09214580059051514,0.9891445636749268,0.03572137653827667,100.84000037555651,-9.723292556992194,-5.49103325283606,0.7644946604713065,-0.09072227296953349,0.03483490409810729,0.637262735087857,-148.4,-187.0,483.85
1754658747.9197435,0.07754713296890259,0.9994678497314453,0.04412250220775604,98.53704731029885,-14.267632712035674,21.168343209195115,0.7540012167311064,0.05845539475410265,0.21143087311275688,0.619162327479316,-268.0,-171.4,381.79
